timestamp,mid_price,mid_price_wt,mid_price_mkt,book_I_0.2_5_1,book_I_0.4_5_1,book_I_0.6_5_1,book_I_0.8_5_1,B/A_ratio
2023-11-10 13:04:16,49392500.0,49392500.0,49392000.99357101,-957.1860406696796,-1963.4907332211733,-2643.4926709979773,-2971.4648695513606,1.0000202461937155
2023-11-10 13:04:20,49388000.0,49388000.0,49388866.66666667,-407.0318035185337,-1242.2834191322327,-1863.805382065475,-2135.8051544874907,1.0000404964869298
2023-11-10 13:04:24,49387500.0,49384000.0,49389986.19193215,-2335.800634369254,-1867.6108365803957,-1439.2695072740316,-1090.479825899005,1.000101245317404
2023-11-10 13:04:28,49388500.0,49388500.0,49387204.54545455,-909.8886169940233,-807.3894281759858,-637.077350050211,-572.8465104699135,1.0000607447303946
2023-11-10 13:04:32,49390500.0,49389500.0,49390247.422680415,-1577.9882312044501,-1996.322704270482,-2216.9478149414062,-2373.8690899834037,1.0000202470135655
2023-11-10 13:04:36,49391500.0,49391500.0,49391118.32061069,-1281.2614635527134,-2226.8133092597127,-2867.7250161767006,-3233.037381924689,1.0000202466036323
2023-11-10 13:04:40,49390500.0,49389500.0,49389368.42105263,-907.5556286722422,133.54821175336838,1374.3889485523105,2340.935004904866,1.000060742270546
2023-11-10 13:04:44,49389000.0,49389000.0,49387005.23809524,-983.903348557651,-1273.4931290149689,-1495.1030119732022,-1675.0120409801602,1.0000809929738594
2023-11-10 13:04:48,49390500.0,49390000.0,49390035.07553394,-851.3088250309229,-1577.2565899789333,-2215.8366358429193,-2690.198515996337,1.0000202470135655
2023-11-10 13:04:52,49390500.0,49390000.0,49390075.759568594,-307.19769597798586,-757.9406679198146,-1299.024439677596,-1794.0148218274117,1.0000202470135655
2023-11-10 13:04:56,49390500.0,49390000.0,49390042.59887788,-360.7383987531066,-848.6492945998907,-1420.348940834403,-1931.9056959226727,1.0000202470135655
2023-11-10 13:05:00,49390500.0,49390000.0,49390000.73072707,-501.90522512048483,-848.9446402043104,-1227.6095581501722,-1525.847959548235,1.0000202470135655
2023-11-10 13:05:04,49390500.0,49390000.0,49390083.367388636,-309.27715672552586,-616.5875129103661,-991.1408120691776,-1278.837233953178,1.0000202470135655
2023-11-10 13:05:08,49390500.0,49390000.0,49390160.51660516,-232.01591120660305,-478.74117754399776,-812.9798136875033,-1078.0492119640112,1.0000202470135655
2023-11-10 13:05:12,49390500.0,49390000.0,49390001.254311696,-424.341841571033,-713.7337724342942,-1042.6698741167784,-1281.6215773671865,1.0000202470135655
2023-11-10 13:05:16,49390500.0,49390500.0,49390000.83070278,-388.19308729469776,-808.5490343496203,-1221.7060312703252,-1569.4624046608806,1.0000202470135655
2023-11-10 13:05:20,49390000.0,49390000.0,49389299.04375544,26.807963460683823,-143.59463894367218,-409.5249275639653,-615.915647611022,1.0000404948470307
2023-11-10 13:05:24,49390000.0,49390000.0,49389381.40495868,114.69636013358831,78.1152328401804,-73.7538732290268,-185.73693690449,1.0000404948470307
2023-11-10 13:05:28,49390000.0,49390000.0,49389183.401887245,-41.92834582179785,-161.3870381191373,-315.9128238260746,-381.555671967566,1.0000404948470307
2023-11-10 13:05:32,49390000.0,49390000.0,49389194.808532506,18.30195900052786,-45.15948537737131,-171.17555890977383,-231.8248492255807,1.0000404948470307
2023-11-10 13:05:36,49390500.0,49390500.0,49390000.29455081,-463.7080444917083,-854.7011791169643,-1240.0047111585736,-1589.0304650440812,1.0000202470135655
2023-11-10 13:05:40,49392000.0,49392000.0,49390017.316017315,67.65974283218384,540.9869694262743,1050.5875657871366,1421.675653450191,1.000080988054262
2023-11-10 13:05:44,49399500.0,49398000.0,49399050.37783375,-653.415788821876,-145.98729826509953,331.0435494482517,561.613833963871,1.0000202433247636
2023-11-10 13:05:48,49399500.0,49398000.0,49399044.410413474,-1260.3067039623857,-1750.7368222549558,-2335.9091558009386,-2946.177213937044,1.0000202433247636
2023-11-10 13:05:52,49399500.0,49399500.0,49399962.96296296,202.07986865192652,1345.182164222002,2391.8849536702037,2893.184493973851,1.0000202433247636
2023-11-10 13:05:56,49401500.0,49401500.0,49401999.36530965,913.0908182263374,1885.70855178684,2387.156507745385,2565.9834177717566,1.0000202425052125
2023-11-10 13:06:00,49403000.0,49403000.0,49402612.90322581,376.5779433771968,1310.7840085029602,2258.543115697801,2731.0582593902946,1.0000404841909234
2023-11-10 13:06:04,49402500.0,49402500.0,49402800.0,450.5487349778414,1420.0919298902154,2296.1102188304067,2694.7873770967126,1.0000202420954618
2023-11-10 13:06:08,49402500.0,49403000.0,49403285.71428571,1122.9419316723943,2401.1403442919254,3567.183596558869,4149.6401300653815,1.0000607275156372
2023-11-10 13:06:12,49408500.0,49408000.0,49408998.16689581,685.0262930318713,1707.7381160631776,2247.34827709198,2444.0843502655625,1.0000202396373057
2023-11-10 13:06:15,49415500.0,49415500.0,49415303.571428575,-274.3566636890173,-412.26681269705296,-278.53894431144,-8.100399948656559,1.0000202367702116
2023-11-10 13:06:19,49417000.0,49417000.0,49416009.77653631,-338.096554428339,-283.4754345789552,-85.34534546732903,129.7249911725521,1.0000404727213859
2023-11-10 13:06:23,49417000.0,49417000.0,49416058.16096663,-212.57464703172445,-150.945063829422,24.292020305991173,230.8925298973918,1.0000404727213859
2023-11-10 13:06:27,49417500.0,49417500.0,49417126.66944909,-204.80011566728354,-280.1812002360821,-241.41296036541462,-115.84603910148144,1.000020235951191
2023-11-10 13:06:31,49417500.0,49417500.0,49417956.00000001,166.6608918607235,507.9057267382741,822.5251119807363,1055.8653959482908,1.000020235951191
2023-11-10 13:06:35,49415500.0,49415500.0,49415933.808084436,145.2519302815199,648.5268531292677,1164.3791269883513,1587.7528254315257,1.0000202367702116
2023-11-10 13:06:39,49415500.0,49415500.0,49415093.75,-244.06467751413584,-173.9316303357482,172.8788764551282,556.050213329494,1.0000202367702116
2023-11-10 13:06:43,49415500.0,49415500.0,49415981.24999999,189.83117136359215,301.3907214477658,487.9176351428032,728.055590249598,1.0000202367702116
2023-11-10 13:06:47,49417500.0,49416000.0,49417001.32100396,-2810.896940380335,-4212.036065645516,-5138.669732786715,-5595.392527543008,1.000020235951191
2023-11-10 13:06:51,49417000.0,49417000.0,49416324.786324784,-996.6732418313622,-2018.284982457757,-2756.636252127588,-3136.482863627374,1.0000404727213859
2023-11-10 13:06:55,49415500.0,49415500.0,49415538.461538464,28.104335114359856,275.2378052473068,608.15888415277,882.955701045692,1.00006071153924
2023-11-10 13:06:59,49416500.0,49416500.0,49416903.22580645,-452.3486923649907,-1198.6107332259417,-1829.0003318563104,-2152.3499623686075,1.000020236360693
2023-11-10 13:07:03,49414500.0,49414000.0,49414629.03225807,-528.6645832657814,-728.2919603735209,-1010.8069386780262,-1367.2219607830048,1.0000202371797466
2023-11-10 13:07:07,49417500.0,49417500.0,49417814.81481481,-254.95276499539614,-537.721539773047,-610.8200467899442,-549.6146978139877,1.000020235951191
2023-11-10 13:07:11,49417500.0,49417500.0,49417854.166666664,-225.12589567154646,-500.34877774119377,-589.0453388765454,-540.4910375401378,1.000020235951191
2023-11-10 13:07:15,49417500.0,49417500.0,49417789.473684214,-272.09118753671646,-557.7935679107904,-621.5273532792926,-553.73894456774,1.000020235951191
2023-11-10 13:07:19,49418500.0,49418000.0,49418976.19047619,-802.8320909291506,-1309.7466236501932,-1524.4556536376476,-1521.4164769127965,1.0000202355417054
2023-11-10 13:07:23,49415500.0,49415000.0,49415077.46478873,-507.70060627162457,-482.7957135140896,-166.33385204523802,209.68461924791336,1.0000202367702116
2023-11-10 13:07:27,49418500.0,49418500.0,49418863.63636363,-645.0631036311388,-1566.2812159731984,-2281.1448339521885,-2657.4648632258177,1.0000202355417054
2023-11-10 13:07:31,49417500.0,49416500.0,49417701.75438597,-1275.5649824142456,-2171.8612105995417,-3080.004556298256,-3644.6755960062146,1.000020235951191
2023-11-10 13:07:35,49418500.0,49418500.0,49418999.80772929,455.40727343410254,738.1237440407276,864.7838786765933,928.425396963954,1.0000202355417054
2023-11-10 13:07:39,49419000.0,49419000.0,49418008.26019618,-738.7367570847273,-1577.5069780349731,-2318.1200138628483,-2823.144310578704,1.000040471083411
2023-11-10 13:07:43,49418000.0,49418000.0,49418222.222222224,-394.80561830848455,-557.4298368170857,-391.5956761613488,-98.23566683381796,1.0000404719023819
2023-11-10 13:07:47,49418500.0,49418500.0,49417008.650519036,-593.2516901418567,-832.3209740594029,-716.0125821530819,-468.0662908554077,1.0000607078535726
2023-11-10 13:07:51,49418500.0,49418500.0,49418552.23880597,-1478.382766701281,-2435.8949179649353,-3226.917413510382,-3707.464269168675,1.0000202355417054
2023-11-10 13:07:55,49416500.0,49415000.0,49416630.43478261,-1027.8534380868077,-534.3348516225815,136.73987635970116,740.6894132643938,1.000020236360693
2023-11-10 13:07:59,49418500.0,49417000.0,49417014.81627816,-1582.2949639335275,-2483.9299089089036,-3497.091712206602,-4463.307386063039,1.0000607078535726
2023-11-10 13:08:03,49419000.0,49419000.0,49418011.26760563,-1267.4803668186069,-1666.066681444645,-1526.5011230930686,-1202.998901233077,1.000040471083411
2023-11-10 13:08:07,49417500.0,49417500.0,49417909.87124463,-51.8903918042779,71.55094876885414,279.20582826435566,553.5191831365228,1.000020235951191
2023-11-10 13:08:11,49416000.0,49415500.0,49416126.76056338,-133.8084250614047,398.6455084607005,1034.075611591339,1585.3256799727678,1.000040473540423
2023-11-10 13:08:15,49418500.0,49418500.0,49418816.455696195,-398.126616820693,-862.7447786927223,-1269.5744249001145,-1521.0938214808702,1.0000202355417054
2023-11-10 13:08:19,49413500.0,49415000.0,49413310.34482759,1171.661421611905,1560.833172813058,2220.8456302955747,2921.4751973599195,1.0000202375892984
2023-11-10 13:08:23,49414000.0,49414000.0,49414996.44473174,660.2364330664277,1618.1752980872989,2538.096154049039,3213.6587449237704,1.0000404751785967
2023-11-10 13:08:27,49415000.0,49415000.0,49415542.857142866,717.4609443098307,1767.4591346085072,2847.52563495934,3680.190646030009,1.0000404743594933
2023-11-10 13:08:31,49411000.0,49411000.0,49411033.70786516,-231.17092829197645,-482.12013148516417,-690.2140394747257,-821.1154873743653,1.000040477636106
2023-11-10 13:08:35,49409500.0,49409500.0,49410099.99999999,404.1756538376212,713.5533709898591,882.8652853518724,943.7838956192136,1.000060718911917
2023-11-10 13:08:39,49410000.0,49410000.0,49410611.42857143,91.41152384877205,166.17492047697306,203.60996975004673,205.97563185542822,1.000040478455342
2023-11-10 13:08:43,49411000.0,49411000.0,49411988.80597015,-74.3410570025444,-248.74579817801714,-397.02955622226,-478.03979136794806,1.000040477636106
2023-11-10 13:08:47,49414500.0,49414500.0,49414014.08450704,44.29250295460224,401.9228355139494,950.4433020353317,1560.0277638882399,1.0000202371797466
2023-11-10 13:08:51,49413500.0,49413500.0,49413535.71428571,479.6408231854439,948.4372224733233,1337.304441422224,1601.1940971240401,1.0000202375892984
2023-11-10 13:08:55,49413000.0,49413000.0,49413983.458646625,746.3782406076789,1523.5659282058477,2259.1323816478252,2902.8144478946924,1.0000404759977333
2023-11-10 13:08:59,49412000.0,49414000.0,49412903.56394129,1189.9832250475883,716.9426326900721,313.0110011920333,19.6258639767766,1.0000404768169031
2023-11-10 13:09:03,49408500.0,49408500.0,49408188.81118881,-81.78896914422512,-169.70817948132753,-269.8461132347584,-385.60755230486393,1.0000202396373057
2023-11-10 13:09:06,49408000.0,49408000.0,49407883.72093023,98.79076465219259,242.69978366792202,433.90881099551916,669.6185981929302,1.0000404800939138
2023-11-10 13:09:10,49405000.0,49405000.0,49406200.00000001,970.2119029983878,2163.6132168471813,3186.7502510920167,3755.063505575061,1.0000809667429102
2023-11-10 13:09:14,49405500.0,49405000.0,49405365.079365075,234.5797542259097,1170.7680645808578,1999.112738572061,2452.76405017823,1.000020240866309
2023-11-10 13:09:18,49403500.0,49404500.0,49403142.15283484,601.8267389237881,466.8870369642973,434.7890007644892,435.212417088449,1.0000202416857276
2023-11-10 13:09:22,49404500.0,49404500.0,49405837.83783784,652.8908406496048,1696.4355506375432,2889.587122119963,3853.4052948206663,1.0000607250571827
2023-11-10 13:09:26,49400500.0,49400500.0,49400774.56116165,207.20771081000566,602.851260304451,830.2604259848595,940.4027941152453,1.0000202429149798
2023-11-10 13:09:30,49400500.0,49400500.0,49400839.01292597,130.40264765918255,662.3436851203442,1053.5521358177066,1300.865340910852,1.0000202429149798
2023-11-10 13:09:34,49400500.0,49400500.0,49400834.22071636,23.82713294774294,526.7574821859598,929.7387889102101,1207.8163127452135,1.0000202429149798
2023-11-10 13:09:38,49400500.0,49400500.0,49400999.37539038,555.4236232191324,1387.9991488158703,1964.6768007799983,2272.4491292387247,1.0000202429149798
2023-11-10 13:09:42,49401500.0,49401500.0,49402857.41782647,394.76376961916685,1207.5885192751884,2009.2013571038842,2615.701860755682,1.0000607287449392
2023-11-10 13:09:46,49402500.0,49402000.0,49402122.0472441,-70.1944360435009,479.43539659678936,968.652455419302,1193.01099973917,1.0000202420954618
2023-11-10 13:09:50,49402500.0,49402000.0,49402132.29571985,-63.23554729670286,485.2501264065504,970.9923774600029,1193.6242856159806,1.0000202420954618
2023-11-10 13:09:54,49403500.0,49403000.0,49403958.333333336,373.38169874995947,1268.034430168569,2127.6195999234915,2668.0540265887976,1.0000202416857276
2023-11-10 13:09:58,49405000.0,49404500.0,49404559.3220339,90.69682176411152,1058.443129606545,2412.84925237298,3641.3182418122888,1.0000809667429102
2023-11-10 13:10:02,49401500.0,49401500.0,49402969.464453496,648.119819059968,1677.5774440914392,2527.034070946276,2978.227514438331,1.0000607287449392
2023-11-10 13:10:06,49401500.0,49401500.0,49402986.2992126,738.4308098703623,1864.3823662921786,2802.6312167420983,3333.3642551228404,1.0000607287449392
2023-11-10 13:10:10,49403000.0,49403000.0,49403739.13043479,615.9544766619802,1568.0759704858065,2514.324193805456,3107.5027289688587,1.0000404841909234
2023-11-10 13:10:14,49402500.0,49402500.0,49402614.03508772,-32.71631036698818,6.648729659616947,150.28372069448233,370.09419449418783,1.0000202420954618
2023-11-10 13:10:18,49401000.0,49401000.0,49400861.7290904,-225.51991236954927,-166.72339896857738,-67.28541295230389,-26.347135096788406,1.0000404858299594
2023-11-10 13:10:22,49401000.0,49401000.0,49400842.22604705,-254.37806006520987,-223.49093955755234,-138.44080977141857,-99.01210014522076,1.0000404858299594
2023-11-10 13:10:26,49401000.0,49401000.0,49400827.686070085,-239.38693417608738,-199.58559649437666,-112.07685674726963,-76.62243054062128,1.0000404858299594
2023-11-10 13:10:30,49399500.0,49398500.0,49399411.76470588,-1742.7695346474648,-2793.6849706321955,-3675.8610300198197,-4293.228768490255,1.0000202433247636
2023-11-10 13:10:34,49401000.0,49400000.0,49400057.28314239,-1556.9269739314914,-2402.9712103009224,-3050.398478321731,-3510.5286600142717,1.0000404858299594
2023-11-10 13:10:38,49400500.0,49399500.0,49399250.234301776,-1736.0955320596695,-2579.244987756014,-3304.139007948339,-3916.9649874046445,1.000060729974291
2023-11-10 13:10:42,49395500.0,49397000.0,49395002.0,382.18981202691793,-452.2640829384327,-1193.728687234223,-1796.8875942006707,1.0000202449640652
2023-11-10 13:10:46,49395000.0,49395500.0,49394003.723328084,-749.0834187343717,-2010.9359909296036,-2837.756040774286,-3226.156797118485,1.0000404907478642
