price,quantity,type,timestamp
47202000,0.0001,1,2023-11-08 23:12:13
47204000,0.0011,1,2023-11-08 23:12:13
47205000,0.0437,1,2023-11-08 23:12:13
47206000,0.1644,1,2023-11-08 23:12:13
47195000,1.2249,0,2023-11-08 23:12:17
47194000,0.0002,0,2023-11-08 23:12:17
47193000,0.0443,0,2023-11-08 23:12:17
47192000,0.0002,0,2023-11-08 23:12:17
47191000,0.0002,0,2023-11-08 23:12:17
47196000,0.0001,1,2023-11-08 23:12:17
47198000,0.0002,1,2023-11-08 23:12:17
47199000,0.0002,1,2023-11-08 23:12:17
47201000,0.0069,1,2023-11-08 23:12:17
47202000,0.0001,1,2023-11-08 23:12:17
47200000,0.1796,0,2023-11-08 23:12:21
47198000,0.0856,0,2023-11-08 23:12:21
47196000,0.0424,0,2023-11-08 23:12:21
47195000,3.7083,0,2023-11-08 23:12:21
47194000,0.0002,0,2023-11-08 23:12:21
47201000,0.0,1,2023-11-08 23:12:21
47202000,0.0003,1,2023-11-08 23:12:21
47204000,0.0822,1,2023-11-08 23:12:21
47205000,0.0001,1,2023-11-08 23:12:21
47206000,0.1644,1,2023-11-08 23:12:21
47218000,0.0868,0,2023-11-08 23:12:25
47217000,1.0444,0,2023-11-08 23:12:25
47214000,0.0847,0,2023-11-08 23:12:25
47211000,0.0032,0,2023-11-08 23:12:25
47210000,0.0056,0,2023-11-08 23:12:25
47224000,0.1033,1,2023-11-08 23:12:25
47225000,0.0948,1,2023-11-08 23:12:25
47226000,0.0044,1,2023-11-08 23:12:25
47227000,0.0874,1,2023-11-08 23:12:25
47228000,0.1059,1,2023-11-08 23:12:25
47195000,0.1478,0,2023-11-08 23:12:29
47194000,0.0002,0,2023-11-08 23:12:29
47193000,0.0002,0,2023-11-08 23:12:29
47192000,0.0002,0,2023-11-08 23:12:29
47191000,0.0002,0,2023-11-08 23:12:29
47196000,0.0135,1,2023-11-08 23:12:29
47200000,0.0233,1,2023-11-08 23:12:29
47203000,0.0001,1,2023-11-08 23:12:29
47204000,0.0385,1,2023-11-08 23:12:29
47205000,0.0048,1,2023-11-08 23:12:29
47193000,0.0001,0,2023-11-08 23:12:33
47192000,0.0001,0,2023-11-08 23:12:33
47191000,0.0001,0,2023-11-08 23:12:33
47188000,0.0441,0,2023-11-08 23:12:33
47187000,0.1062,0,2023-11-08 23:12:33
47199000,0.0443,1,2023-11-08 23:12:33
47200000,0.0085,1,2023-11-08 23:12:33
47201000,0.0856,1,2023-11-08 23:12:33
47203000,0.0001,1,2023-11-08 23:12:33
47205000,0.0001,1,2023-11-08 23:12:33
47193000,0.0001,0,2023-11-08 23:12:37
47192000,0.0001,0,2023-11-08 23:12:37
47191000,0.0001,0,2023-11-08 23:12:37
47189000,0.0001,0,2023-11-08 23:12:37
47188000,0.0442,0,2023-11-08 23:12:37
47200000,0.0527,1,2023-11-08 23:12:37
47201000,0.0856,1,2023-11-08 23:12:37
47203000,0.0001,1,2023-11-08 23:12:37
47205000,0.0001,1,2023-11-08 23:12:37
47206000,0.05,1,2023-11-08 23:12:37
47196000,0.0005,0,2023-11-08 23:12:41
47193000,0.0001,0,2023-11-08 23:12:41
47192000,0.0001,0,2023-11-08 23:12:41
47191000,0.0001,0,2023-11-08 23:12:41
47190000,0.0847,0,2023-11-08 23:12:41
47203000,0.0845,1,2023-11-08 23:12:41
47205000,0.0444,1,2023-11-08 23:12:41
47206000,0.1337,1,2023-11-08 23:12:41
47207000,0.8186,1,2023-11-08 23:12:41
47209000,0.0003,1,2023-11-08 23:12:41
47189000,0.0247,0,2023-11-08 23:12:45
47188000,0.1055,0,2023-11-08 23:12:45
47187000,0.1062,0,2023-11-08 23:12:45
47186000,0.0074,0,2023-11-08 23:12:45
47185000,0.159,0,2023-11-08 23:12:45
47205000,0.0421,1,2023-11-08 23:12:45
47206000,0.1945,1,2023-11-08 23:12:45
47207000,0.7758,1,2023-11-08 23:12:45
47209000,0.0003,1,2023-11-08 23:12:45
47210000,0.0001,1,2023-11-08 23:12:45
47189000,0.0247,0,2023-11-08 23:12:49
47188000,0.1055,0,2023-11-08 23:12:49
47187000,0.1062,0,2023-11-08 23:12:49
47186000,0.0074,0,2023-11-08 23:12:49
47185000,0.159,0,2023-11-08 23:12:49
47205000,0.0442,1,2023-11-08 23:12:49
47206000,0.1968,1,2023-11-08 23:12:49
47207000,0.7758,1,2023-11-08 23:12:49
47209000,0.0003,1,2023-11-08 23:12:49
47210000,0.0001,1,2023-11-08 23:12:49
47190000,0.0409,0,2023-11-08 23:12:53
47189000,0.106,0,2023-11-08 23:12:53
47188000,0.1055,0,2023-11-08 23:12:53
47187000,0.1062,0,2023-11-08 23:12:53
47186000,0.0074,0,2023-11-08 23:12:53
47205000,0.0442,1,2023-11-08 23:12:53
47206000,0.1968,1,2023-11-08 23:12:53
47207000,0.7758,1,2023-11-08 23:12:53
47209000,0.0003,1,2023-11-08 23:12:53
47210000,0.0001,1,2023-11-08 23:12:53
